Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Specjalista/tka ds. administracyjno-prawnych"; "Kraków, małopolskie"; "Umowa o pracę na czas nieokreślony"; "BLACK LION SP. Z O.O."; "2025-02-12"; 
"Specjalistka / Specjalista do obsługi Amazon"; "Nędza, śląskie"; "Wybór"; "ASKOL- SVATAVA KOLETZKO"; "2025-01-30"; 
"Specjalistka/Specjalista ds. logistyki (FEPŻ/W/03/2024)"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-03"; 
"Specjalistka/Specjalista ds. technicznych"; "Gdynia, pomorskie"; "Umowa o pracę na czas określony"; "OKRĘGOWE PRZEDSIĘBIORSTWO ENERGETYKI CIEPLNEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-22"; 
"Specjalisty/Specjalistki HR"; "Gdańsk, pomorskie"; "Umowa o pracę na okres próbny"; "EWERTON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-28"; 
"Specjlaista ds. optymalizacji procesów"; "Nidzica, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "ESENTLE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-21"; 
"spedycja"; "Władysławowo, pomorskie"; "Umowa o pracę na okres próbny"; "MAR-POL BIS SP. Z O.O."; "2025-02-21"; 
"spedytor"; "Chotyłów, lubelskie"; "Umowa o pracę na okres próbny"; "Dagmara Szwecow usługi spedycyjne"; "2025-01-08"; 
"spedytor"; "Strzelin, dolnośląskie"; "Umowa o pracę w zastępstwie"; "TLS Klimków Kowalczyk sp.jawna"; "2025-02-04"; 
"Spedytor"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "Connect Logistics Spółka z ograniczoną odpowiedzialnością Spółka komandytowa"; "2024-12-03"; 
"Spedytor"; "Ogrodzieniec, śląskie"; "Umowa o pracę na okres próbny"; "FIRMA HANDLOWO-USŁUGOWA "" K R A U T "" Kwieciński Zdzisław"; "2025-01-02"; 
"Spedytor"; "Walce, opolskie"; "Umowa o pracę na czas określony"; "LOKPOL TRANS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-10"; 
"Spedytor"; "Giżyce, mazowieckie"; "Umowa o pracę na czas określony"; "IMBEX SPÓŁKA Z O.O. SPÓŁKA KOMANDYTOWA"; "2025-01-14"; 
"Spedytor"; "Zielona Góra, lubuskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-30"; 
"Spedytor"; "Stojadła, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-30"; 
"Spedytor"; "Ujazd, łódzkie"; "Umowa o pracę na czas określony"; """PPSKIZ TRANSMEBLE POZNAŃ"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"Spedytor"; "Kalisz, wielkopolskie"; "Umowa o pracę na czas nieokreślony"; "MIĘDZYNARODOWY TRANSPORT DROGOWY IMPORT-EXPORT DARIUSZ ROGACZEWSKI"; "2025-02-06"; 
"Spedytor"; "Garwolin, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-10"; 
"Spedytor"; "Bońki, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-10"; 
"Spedytor"; "Raciąż, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-10"; 
"Spedytor"; "Starachowice, świętokrzyskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Eneo Group Logistic Justyna Przygoda"; "2025-02-07"; 
"Spedytor"; "Gdańsk, pomorskie"; "Umowa o pracę na czas nieokreślony"; "KOMPAS SPEDYCJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-12"; 
"Spedytor"; "Gdynia, pomorskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO KOORDYNACJI SPEDYCJI TORM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-19"; 
"SPEDYTOR"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na czas określony"; "SOLIDARIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-30"; 
"SPEDYTOR"; "Nowy Świat, lubuskie"; "Umowa o pracę na czas nieokreślony"; "ERYK - KARAPETYAN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-31"; 
"Spedytor (staż)"; "Nowa Dąbia, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-13"; 
"Spedytor drogowy"; "Gdynia, pomorskie"; "Umowa o pracę na czas nieokreślony"; "UNIVERSUM - BLC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-28"; 
"Spedytor krajowy i międzynarodowy"; "Głogów, dolnośląskie"; "Umowa o pracę na okres próbny"; "Antrans Sp. z o.o."; "2025-01-30"; 
"Spedytor logistyk"; "Kraśnik, lubelskie"; "Umowa o pracę na czas określony"; "Lenart Henryk ,,LETRANS''"; "2025-02-13"; 
"spedytor międzynarodowy"; "Świnoujście, zachodniopomorskie"; "Umowa o pracę na czas nieokreślony"; "Spedycja Międzynarodowa Agroland-Cargo Sp. z o.o."; "2025-02-03"; 
"spedytor międzynarodowy"; "Poznań, wielkopolskie"; "Umowa o pracę na czas określony"; "EXPRESS HEROES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-18"; 
"Spedytor międzynarodowy"; "Nisko, podkarpackie"; "Umowa o pracę na czas nieokreślony"; "WOMAR Sp. z o.o. Spółka komandytowa"; "2025-02-03"; 
"Spedytor międzynarodowy"; "Gromada, lubelskie"; "Umowa o pracę na okres próbny"; "ADMET-EXPRESS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"Spedytor międzynarodowy"; "Gdynia, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "LANGE LOGISTIC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"Spedytor międzynarodowy"; "Barlinek, zachodniopomorskie"; "Umowa o pracę na czas nieokreślony"; "GOMEX GOMETAL Krzysztof Goryński"; "2025-02-06"; 
"Spedytor międzynarodowy"; "Poznań, wielkopolskie"; "Umowa o pracę na czas określony"; "AVT LOGISTICS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-14"; 
"Spedytor międzynarodowy"; "Wolsztyn, wielkopolskie"; "Umowa o pracę na czas określony"; "IBIZA-SPEED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-17"; 
"Spedytor w Transporcie Międzynarodowym"; "Kościerzyna, pomorskie"; "Umowa o pracę na czas nieokreślony"; "Botrans sp. z o.o."; "2025-02-06"; 
"Spedytor-logistyk"; "Przeworsk, podkarpackie"; "Umowa o pracę na czas określony"; "ANDRZEJ KRZAN HANDEL HURTOWY I DETALICZNY"; "2025-02-06"; 
"Spedytor, logistyk, agent celny"; "Braniewo, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "K&M Logistic Karolina Pomagruk-Majek"; "2025-02-05"; 
"Spedytor/ka"; "Roszkowo, pomorskie"; "Umowa o pracę na czas określony"; "USŁUGI TRANSPORTOWE Aleksandra Bielińska"; "2025-02-04"; 
"Sprzatacz/ka"; "Poznań, wielkopolskie"; "Umowa o pracę na czas określony"; "HR FOR BUSINESS Sp. z o.o."; "2025-02-06"; 
"Sprzataczka (nr 0341)"; "Bydgoszcz, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "AJG Systemy Bezpieczeństwa Sp. z o.o."; "2025-02-11"; 
"sprzątacz"; "Gryfino, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Centrum Sportu i Rekreacji w Gryfinie"; "2025-02-12"; 
"Sprzątacz"; "Sopot, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PARK WODNY SOPOT SP. Z O.O"; "2025-01-28"; 
"Sprzątacz"; "Sopot, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PARK WODNY SOPOT SP. Z O.O"; "2025-01-28"; 
"Sprzątacz"; "Pruszków, mazowieckie"; "Umowa o pracę na okres próbny"; """AMLUX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-11"; 
"Sprzątacz"; "Kosów Lacki, mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; "2025-02-17"; 
"Sprzątacz"; "Nowy Sącz, małopolskie"; "Umowa o pracę na okres próbny"; "NAPRZÓD HOSPITAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-21"; 
"sprzątacz - dezynfektor"; "Ełk, warmińsko-mazurskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Climbex Spółka Akcyjna"; "2025-01-27"; 
"Sprzątacz K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "Spółdzielnia Budowlano- Mieszkaniowa ""Dom"""; "2025-01-31"; 
"Sprzątacz pojazdów (staż FEDS 2025 pn. Mobilizacja-praca-satysfakcja) E 1/1"; "Wałbrzych, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-21"; 
"Sprzątacz posesji"; "Strzelce Krajeńskie, lubuskie"; "Umowa o pracę na okres próbny"; "SPÓŁDZIELNIA MIESZKANIOWA W STRZELCACH KRAJEŃSKICH"; "2025-02-03"; 
"SPRZĄTACZ POSESJI (1/2 etatu) - 40"; "Świdnica, dolnośląskie"; "Umowa o pracę na czas określony"; "Młodzieżowy Dom Kultury Świdnica"; "2025-02-07"; 
"Sprzątacz stacji kolejowych"; "Minkowice, lubelskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ZAKŁADY USŁUGOWE ""WSCHÓD"" SPÓŁKA Z O.O."; "2025-02-19"; 
"Sprzątacz stacji kolejowych"; "Podzamcze, lubelskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ZAKŁADY USŁUGOWE ""WSCHÓD"" SPÓŁKA Z O.O."; "2025-02-19"; 
"Sprzątacz/ Sprzątaczka"; "Pruszków, mazowieckie"; "Umowa o pracę na okres próbny"; """AMLUX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-11"; 
"Sprzątacz/ka terenów kolejowych."; "Bodzechów, świętokrzyskie"; "Umowa o pracę na czas określony"; "Zakłady Usługowe WSCHÓD Sp. z o.o."; "2025-02-17"; 
"Sprzątacz/Sprzątaczka"; "Jarosław, podkarpackie"; "Umowa o pracę na okres próbny"; """PROMETEUSZ"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-20"; 
"sprzątaczka"; "Sienna, dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "HIG ""CZARNA GÓRA"" SPÓŁKA AKCYJNA SPÓŁKA KOMANDYTOWA"; "2024-11-12"; 
"sprzątaczka"; "Siechnice, dolnośląskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Mikołaja Kopernika w Siechnicach"; "2024-12-17"; 
"sprzątaczka"; "Krosno Odrzańskie, lubuskie"; "Umowa o pracę na okres próbny"; "JAK-BUD JAKUB BUDZIŃSKI"; "2024-12-06"; 
"sprzątaczka"; "Świętochłowice, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-27"; 
"sprzątaczka"; "Opatkowice, małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Pasjona Spółka z o.o"; "2025-02-05"; 
"sprzątaczka"; "Białystok, podlaskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "BiaVita Polska S.A."; "2025-02-10"; 
"sprzątaczka"; "Olsztyn, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "V Liceum Ogólnokształcące im. Wspólnej Europy w Olsztynie"; "2025-02-14"; 
"sprzątaczka"; "Toruń, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO USŁUG OCHRONY MIENIA RIM ROMAN MONETA I WSPÓLNICY - SPÓŁKA JAWNA"; "2025-02-15"; 
"sprzątaczka"; "Rzeszów, podkarpackie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""KARABELA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-17"; 
"sprzątaczka"; "Kamienna Góra, dolnośląskie"; "Umowa o pracę na czas określony"; "P.H.U. Mago Serwis Mateusz Bartczak"; "2025-02-17"; 
"sprzątaczka"; "Kraków, małopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa Nr 53"; "2025-02-18"; 
"sprzątaczka"; "Złotoryja, dolnośląskie"; "Umowa o pracę na okres próbny"; "Zakład Usługowo-Budowlany ""WiW BUD"" Andrzej Waszak"; "2025-02-19"; 
"sprzątaczka"; "Jankowice, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "S.C. ""WIKO"" WIERA CZESŁAW, AGATA GAMŻA"; "2025-02-21"; 
"sprzątaczka"; "Szczecin, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "Jantar 2 Spółka z o.o."; "2025-02-21"; 
"Sprzątaczka"; "Zalewo, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD DROBIARSKI LECH-DRÓB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-09-11"; 
"Sprzątaczka"; "Szczytno, warmińsko-mazurskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PIOTR EDWARD MARUSA USŁUGI MONTAŻOWE MARUSA"; "2024-11-06"; 
"Sprzątaczka"; "Chomiąża Księża, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "BRZEZINA ELŻBIETA KACZMAREK"; "2024-12-02"; 
"Sprzątaczka"; "Poznań, wielkopolskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-01-02"; 
"Sprzątaczka"; "Lipowiec, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "AKMAR PLUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-10"; 
"Sprzątaczka"; "Jeleśnia, śląskie"; "Umowa o pracę na okres próbny"; "ARMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-13"; 
"Sprzątaczka"; "Zielona Góra, lubuskie"; "Umowa o pracę na czas określony"; "MIEJSKI OŚRODEK SPORTU I REKREACJI"; "2025-01-14"; 
"Sprzątaczka"; "Biskupin, kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Przedsiębiorstwo Handlowo-Usługowe"; "2025-01-16"; 
"Sprzątaczka"; "Sandomierz, świętokrzyskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-17"; 
"Sprzątaczka"; "Bytom, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Cukiernia Perełka Warzecha Marcin"; "2025-01-21"; 
"Sprzątaczka"; "Siedlce, mazowieckie"; "Umowa o pracę na okres próbny"; "MULTI-EFEKT MICHAŁ MISIAK"; "2025-01-24"; 
"Sprzątaczka"; "Lisów, śląskie"; "Umowa o pracę na okres próbny"; "Zdzisław Koza Zakłady Metalowe ""KOZAMEX"" Zakład Pracy Chronionej"; "2025-01-28"; 
"Sprzątaczka"; "Gubin, lubuskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-01-27"; 
"Sprzątaczka"; "Jedlicze, podkarpackie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; "2025-01-22"; 
"Sprzątaczka"; "Bielsko-Biała, śląskie"; "Umowa o pracę na okres próbny"; "Szkoła Podstawowa nr 32 im. Jana III Sobieskiego"; "2025-01-29"; 
"Sprzątaczka"; "Racibórz, śląskie"; "Umowa o pracę na okres próbny"; "Akademia Nauk Stosowanych w Raciborzu"; "2025-01-29"; 
"Sprzątaczka"; "Grodzisk Wielkopolski, wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "COMBAT BROTHERS LIMITED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"Sprzątaczka"; "Piaski, warmińsko-mazurskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Stanica Żeglarska KOREKTYWA Sp. z o.o."; "2025-01-30"; 
"Sprzątaczka"; "Brzesko, małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "CBRE GWS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-03"; 
"Sprzątaczka"; "Nowy Dwór Mazowiecki, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-03"; 
"Sprzątaczka"; "Świnoujście, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Specjalny Ośrodek Szkolno-Wychowaczy"; "2025-02-03"; 
"Sprzątaczka"; "Turek, wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "KORINEX JADWIGA BOGACZ"; "2025-02-04"; 
"Sprzątaczka"; "Opole, opolskie"; "Umowa o pracę na okres próbny"; "MUSI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"Sprzątaczka"; "Otwock, mazowieckie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa nr 1 im. W. Reymonta w Otwocku"; "2025-02-05"; 
"Sprzątaczka"; "Ostrów Wielkopolski, wielkopolskie"; "Umowa o pracę na okres próbny"; "SŁAWOMIR BYLICKI PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWE BYLICKI"; "2025-02-05"; 
"Sprzątaczka"; "Sadów, śląskie"; "Umowa o pracę na czas określony"; "Zespół Szkolno-Przedszkolny w Sadowie"; "2025-02-06"; 
"Sprzątaczka"; "Ropczyce, podkarpackie"; "Umowa o pracę na okres próbny"; "SKAREM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-06"; 
"Sprzątaczka"; "Spore, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "AW Andrzej Wilczyński"; "2025-02-06"; 
"Sprzątaczka"; "Białystok, podlaskie"; "Umowa o pracę na okres próbny"; "AKMAR PLUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-07"; 
"Sprzątaczka"; "Świnoujście, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Komenda Miejska Policji w Świnoujściu"; "2025-02-07"; 
"Sprzątaczka"; "Łańcut, podkarpackie"; "Umowa o pracę na czas określony"; "SPÓŁDZIELNIA MIESZKANIOWA W ŁAŃCUCIE"; "2025-02-10"; 
"Sprzątaczka"; "Lidzbark Warmiński, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-11"; 
"Sprzątaczka"; "Rybnik, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "B&M POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-11"; 
"Sprzątaczka"; "Medyka, podkarpackie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Produkcyjno-Usługowe Cza-Ta Niciak Spółka Jawna"; "2025-02-11"; 
"Sprzątaczka"; "Krosno, podkarpackie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; "2025-02-10"; 
"Sprzątaczka"; "Gliwice, śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-12"; 
"Sprzątaczka"; "Pyskowice, śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-12"; 
"Sprzątaczka"; "Siekierczyn, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-12"; 
"Sprzątaczka"; "Lublin, lubelskie"; "Umowa o pracę na okres próbny"; "BEATA MICHAJŁOW P.H.U. BE-DANT"; "2025-02-13"; 
"Sprzątaczka"; "Starogard Gdański, pomorskie"; "Umowa o pracę na okres próbny"; "BARA SP. Z O.O."; "2025-02-12"; 
"Sprzątaczka"; "Wałbrzych, dolnośląskie"; "Umowa o pracę na czas określony"; "Młodzieżowy Ośrodek Socjoterapii w Wałbrzychu (Specjalny Ośrodek Szkolno-Wychowawczy w Wałbrzychu)"; "2025-02-12"; 
"Sprzątaczka"; "Gruszów Wielki, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-14"; 
"Sprzątaczka"; "Nidzica, warmińsko-mazurskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ZESPÓŁ OPIEKI ZDROWOTNEJ NIDZICA"; "2025-02-14"; 
"Sprzątaczka"; "Płock, mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "CLEAN SERVICE Z.TARCZYLUK T.PRZERADZKA"; "2025-02-14"; 
"Sprzątaczka"; "Gostynin, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-17"; 
"Sprzątaczka"; "Rogowiec, łódzkie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ROKA PLUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-17"; 
"Sprzątaczka"; "Gryfice, zachodniopomorskie"; "Umowa o pracę na czas nieokreślony"; "PRZEDSIĘBIORSTWO PKS GRYFICE SP. Z O.O."; "2025-02-17"; 
"Sprzątaczka"; "Legionowo, mazowieckie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKOLNO- PRZEDSZKOLNY NR 2 W LEGIONOWIE"; "2025-02-18"; 
"Sprzątaczka"; "Piekary Śląskie, śląskie"; "Umowa o pracę na okres próbny"; "CMS ALFA Sp. z o.o."; "2025-02-18"; 
"Sprzątaczka"; "Krzeszyce, lubuskie"; "Umowa o pracę na okres próbny"; """POZIOM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-18"; 
"Sprzątaczka"; "Kamień Pomorski, zachodniopomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-18"; 
"Sprzątaczka"; "Lipsko, mazowieckie"; "Umowa o pracę na czas określony"; "ARMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-18"; 
"Sprzątaczka"; "Łódź, łódzkie"; "Umowa o pracę na czas określony"; "Bursa Szkolna nr 11 w Łodzi"; "2025-02-19"; 
"Sprzątaczka"; "Jaworzno, śląskie"; "Umowa o pracę w zastępstwie"; "Zespół Szkolno-Przedszkolny nr 1 w Jaworznie"; "2025-02-19"; 
"Sprzątaczka"; "Wiśniew, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-19"; 
"Sprzątaczka"; "Legnica, dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "I Liceum Ogólnokształcące im. Tadeusza Kościuszki"; "2025-02-19"; 
"Sprzątaczka"; "Wola Książęca, wielkopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Kornela Makuszyńskiego w Woli Książęcej"; "2025-02-20"; 
"Sprzątaczka"; "Piekary Śląskie, śląskie"; "Umowa o pracę na czas określony"; "MIEJSKA SZKOŁA PODSTAWOWA NR 13 IM.POWSTAŃCÓW ŚLĄSKICH"; "2025-02-20"; 
"Sprzątaczka"; "Kłobuck, śląskie"; "Umowa o pracę na okres próbny"; "ULISSES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-21"; 
"Sprzątaczka"; "Tarnobrzeg, podkarpackie"; "Umowa o pracę na okres próbny"; "Prometeusz Sp. z o.o."; "2025-02-21"; 
"Sprzątaczka"; "Kostrzyn, wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; "2025-02-21"; 
"Sprzątaczka"; "Gorzów Wielkopolski, lubuskie"; "Umowa o pracę w zastępstwie"; "Zespół Szkół Ogólnokształcących Nr 16"; "2025-02-21"; 
"Sprzątaczka"; "Gorzów Wielkopolski, lubuskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Polskie Stowarzyszenie na rzecz Osób z Niepełnosprawnością Intelektualną Koło w Gorzowie Wlkp."; "2025-02-21"; 
"Sprzątaczka"; "Łódź, łódzkie"; "Umowa o pracę na czas określony"; "ECO-PLAN S.A."; "2025-02-21"; 
"Sprzątaczka"; "Rogozino, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-21"; 
"SPRZĄTACZKA"; "Strzelce Opolskie, opolskie"; "Umowa o pracę na czas określony"; "BŁAŻEJ WOŹNICA WOZBUD"; "2024-11-14"; 
"SPRZĄTACZKA"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na okres próbny"; "MEGAN CLEANING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"SPRZĄTACZKA"; "Stargard, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W STARGARDZIE"; "2025-02-11"; 
"SPRZĄTACZKA"; "Skierniewice, łódzkie"; "Umowa o pracę na okres próbny"; "MUSI NOVUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-13"; 
"SPRZĄTACZKA"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na czas określony"; "PUBLICZNA SZKOŁA PODSTAWOWA NR 12 IM. KADETA ZYGMUNTA KUCZYŃSKIEGO W KĘDZIERZYNIE-KOŹLU"; "2025-02-19"; 
"sprzątaczka "; "Żory, śląskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Handlowo Usługowe ""PROMYCZEK"" Ewa Grzybek"; "2025-02-20"; 
"Sprzątaczka "; "Krężoły, lubuskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "CLAR SYSTEM SPÓŁKA AKCYJNA"; "2025-01-16"; 
"Sprzątaczka "; "Gdynia, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; """UNISOFT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-28"; 
"Sprzątaczka "; "Kołczygłowy, pomorskie"; "Umowa o pracę na okres próbny"; "JANTAR 2 Spółka z o.o."; "2025-02-07"; 
"Sprzątaczka "; "Miastko, pomorskie"; "Umowa o pracę na okres próbny"; "JANTAR 2 Spółka z o.o."; "2025-02-07"; 
"Sprzątaczka "; "Sieradz, łódzkie"; "Umowa o pracę na okres próbny"; "MUSI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-11"; 
"Sprzątaczka "; "Rzeszów, podkarpackie"; "Umowa o pracę na okres próbny"; "ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 3"; "2025-02-21"; 
"SPRZĄTACZKA "; "Tczew, pomorskie"; "Umowa o pracę na czas określony"; "CREBONIT COATINGS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-27"; 
"Sprzątaczka  biurowa"; "Dąbrowa Górnicza, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "INWEMER SYSTEM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-28"; 
